scientificName,State,TerrestrialEcoregions,,,,,,,,,,,,,,,,,,,,
Eugenia grandis,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Gmelina arborea,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Hopea odorata,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Parashorea stellata,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Shorea burmanica,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Swintonia floribunda,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Xylia xylocarpa,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Acacia leucophloea,Assam,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Assam,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Assam,NA,,,,,,,,,,,,,,,,,,,,
Albizia amara,Assam,NA,,,,,,,,,,,,,,,,,,,,
Altingia excelsa,Assam,NA,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Assam,NA,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Assam,NA,,,,,,,,,,,,,,,,,,,,
Aquilaria malaccensis,Assam,NA,,,,,,,,,,,,,,,,,,,,
Buchanania lanzan,Assam,NA,,,,,,,,,,,,,,,,,,,,
Canthium parviflorum,Assam,NA,,,,,,,,,,,,,,,,,,,,
Capparis decidua,Assam,NA,,,,,,,,,,,,,,,,,,,,
Castanopsis indica,Assam,NA,,,,,,,,,,,,,,,,,,,,
Chrysopogon aciculatus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Cleistanthus collinus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Cynodon dactylon,Assam,NA,,,,,,,,,,,,,,,,,,,,
Cyperus rotundus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Dendrocalamus strictus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Diospyros chloroxylon,Assam,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Assam,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Assam,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Assam,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Assam,NA,,,,,,,,,,,,,,,,,,,,
Dipterocarpus retusus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Eragrostis tenella,Assam,NA,,,,,,,,,,,,,,,,,,,,
